"CNN","Corridor","Limits","CNNRightLeft","BlockSide","FullName","WeekDay","FromHour","ToHour","Week1","Week2","Week3","Week4","Week5","Holidays","BlockSweepID","Line"
"882000","18th St","Lapidge St  -  Dearborn St","L","South","Thu 1st, 3rd, 5th","Thu","6","8","1","0","1","0","1","0","1641884","LINESTRING (-122.422411419561 37.761650220425, -122.422774890061 37.761628101811)"
"6585201","Guerrero St","23rd St  -  24th St","R","West","Mon 2nd & 4th","Mon","7","9","0","1","0","1","0","0","1606758","LINESTRING (-122.423028463733 37.753569181109, -122.423060950105 37.753464875313, -122.422926305249 37.75205491828, -122.422878832906 37.75197162542)"
"4160000","Clement St","11th Ave  -  12th Ave","L","South","Sunday","Sun","7","8","1","1","1","1","1","0","1602960","LINESTRING (-122.469769991545 37.782701905109, -122.470845996213 37.782652401122)"
"9819101","Ocean Ave","Harold Ave  -  Lee Ave","L","South","Fri 2nd & 4th","Fri","7","8","0","1","0","1","0","0","1630126","LINESTRING (-122.453107197957 37.723244036475, -122.453163896185 37.723227591794, -122.454041964132 37.723413008522, -122.454115753503 37.723457007321)"
"7027000","Howard St","The Embarcadero  -  Steuart St","L","SouthEast","Thursday","Thu","3","5","1","1","1","1","1","0","1623458","LINESTRING (-122.391096119262 37.792436047738, -122.391645797923 37.792005701104)"
"6166000","Germania St","Fillmore St  -  Steiner St","R","North","Monday","Mon","9","11","1","1","1","1","1","0","1633099","LINESTRING (-122.430167375626 37.770709188615, -122.431810933336 37.770500961135)"
"2034000","46th Ave","Vicente St  -  Wawona St","R","West","Fri 2nd & 4th","Fri","13","15","0","1","0","1","0","0","1612386","LINESTRING (-122.504359198107 37.738050867054, -122.504227751309 37.736182123861)"
"8130000","Larkin St","O'Farrell St  -  Myrtle St","L","West","Friday","Fri","6","8","1","1","1","1","1","0","1616754","LINESTRING (-122.417901410401 37.785167214987, -122.417996269533 37.78564170987)"
"8392000","Linden St","Franklin St  -  Gough St","L","South","Thursday","Thu","9","11","1","1","1","1","1","0","1624519","LINESTRING (-122.421235439641 37.776625747956, -122.42288271225 37.776415817884)"
"9660000","Noriega St","26th Ave  -  27th Ave","L","South","Thu 2nd & 4th","Thu","7","8","0","1","0","1","0","0","1615617","LINESTRING (-122.48397396278 37.753909914889, -122.485044692436 37.753862755775)"
"5701001","Folsom St","26th St  -  Kamille Ct","L",,"Thursday","Thu","9","11","1","1","1","1","1","0","1610598","LINESTRING (-122.413770627217 37.749304068018, -122.413723350539 37.748816946421)"
"3719000","Carolina St","Caire Ter  -  Wisconsin St","R","South","Tuesday","Tues","6","8","1","1","1","1","1","0","1636785","LINESTRING (-122.398831365299 37.75250806072, -122.398729589373 37.752563608598, -122.398623017219 37.752595875831, -122.398491065123 37.752603731323)"
"3371000","Buena Vista Ave West","Waller St  -  Haight St","R","NorthEast","Thursday","Thu","9","11","1","1","1","1","1","0","1601697","LINESTRING (-122.442765193648 37.769661283093, -122.443018951201 37.769824871783, -122.443155045874 37.769972195849, -122.443264592966 37.770180230304, -122.443311688785 37.770469538418)"
"5565000","Fillmore St","Greenwich St  -  Moulton St","R","East","Fri 1st & 3rd","Fri","6","8","1","0","1","0","0","0","1631416","LINESTRING (-122.435866319946 37.79895184968, -122.435960785505 37.799419242507)"
"10564000","Polk St","Hemlock St  -  Sutter St","L","West","Wednesday","Wed","6","8","1","1","1","1","1","0","1619998","LINESTRING (-122.42001957405 37.787280026389, -122.420116075155 37.787756652467)"
"6149101","Geneva Ave","Brookdale Ave  -  Carter St","L","NorthEast","Wednesday","Wed","8","11","1","1","1","1","1","0","1633068","LINESTRING (-122.424550388159 37.710101860063, -122.424416656702 37.71004664105, -122.423970972205 37.709678234915, -122.423442492546 37.709376253391, -122.423353435517 37.709250950429)"
"13151101","Van Ness Ave","Ellis St  -  Olive St","L","West","Tuesday","Tues","2","6","1","1","1","1","1","0","1625414","LINESTRING (-122.421008360568 37.783824118033, -122.421098152895 37.78391523532, -122.42117098682 37.784283291565)"
"9140000","Mission St","Cortland Ave  -  Santa Marina St","L","SouthEast","Mon 2nd & 4th","Mon","6","8","0","1","0","1","0","0","1619157","LINESTRING (-122.422840576823 37.741027407651, -122.423089906388 37.740641886647)"
"7119000","Hyde St","O'Farrell St  -  Mabel Aly","R","East","Tuesday","Tues","6","8","1","1","1","1","1","0","1608275","LINESTRING (-122.416259705784 37.785375974611, -122.416330777244 37.785726516619)"
"13272000","Vicente St","45th Ave  -  46th Ave","L","South","Fri 1st, 3rd, 5th","Fri","7","8","1","0","1","0","1","0","1625509","LINESTRING (-122.503288346348 37.738097790893, -122.504359198107 37.738050867054)"
"10647000","Post St","Fillmore St  -  Avery St","L","South","Wed 1st & 3rd","Wed","6","8","1","0","1","0","0","0","1619763","LINESTRING (-122.433083398237 37.785150940561, -122.433905015014 37.78504768772)"
"5408000","Farallones St","Capitol Ave  -  Orizaba Ave","L","South","Wed 1st & 3rd","Wed","9","11","1","0","1","0","0","0","1610293","LINESTRING (-122.459035385197 37.714055302725, -122.462588724712 37.714029538781)"
